Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
283170,Adatarayama,Dome of Adatarayama,,,,,,,,,,,,,,,,,,,,,,,
212030,Adhamas,Thermal of Mílos,,,,,,,,,,,,,,,,,,,,,,,
263270,Adika-wilis,Synonym of Wilis,,,,,,,,,,,,,,,,,,,,,,,
221125,Ado Ale,Synonym of Assab Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
264250,Ado Wadjung,Synonym of Ado Wajung,,,,,,,,,,,,,,,,,,,,,,,
264250,Ado Wajung,Crater of Iliwerung,,,,,,,,,,,,,,,,,,,,,,,
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,10.07,40.84,1733,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite, , , , , , , ,101,485,18645,1242922
261110,Aek Madurana,Thermal of Sibualbuali,,,,,,,,,,,,,,,,,,,,,,,
261110,Aek Waliran,Thermal of Sibualbuali,,,,,,,,,,,,,,,,,,,,,,,
305011,Aershan,Cone - Crater of Arxan-Chaihe,,,,,,,,,,,,,,,,,,,,,,,
266030,Aeseput,Cone of Soputan,,,,,,,,,,,,,,,,,,,,,,,
266030,Aeseput Wero,Dome of Soputan,,,,,,,,,,,,,,,,,,,,,,,
211060,Aetna,Synonym of Etna,,,,,,,,,,,,,,,,,,,,,,,
244050,Afana,Crater - Cone of Wallis Islands,,,,,,,,,,,,,,,,,,,,,,,
343041,"Afate, Cerro",Dome of Coatepeque Caldera,,,,,,,,,,,,,,,,,,,,,,,
